  0.00s  INFO Bundling project...
  0.33s ERROR 🚫dx and dioxus versions are incompatible!
                  • dx version: 0.7.10
                  • dioxus versions: [0.7.9]
  0.84s  INFO Compiled [  1/389]: unicode_ident
  0.84s  INFO Compiled [  2/389]: cfg_if
  0.85s  INFO Compiled [  3/389]: stable_deref_trait
  0.89s  INFO Compiled [  4/389]: pin_project_lite
  0.91s  INFO Compiled [  5/389]: shlex
  0.92s  INFO Compiled [  6/389]: smallvec
  0.95s  INFO Compiled [  7/389]: once_cell
  0.95s  INFO Compiled [  8/389]: build-script-build
  0.96s  INFO Compiled [  9/389]: build-script-build
  0.96s  INFO Compiled [ 10/389]: version_check
  0.96s  INFO Compiled [ 11/389]: find_msvc_tools
  0.97s  INFO Compiled [ 12/389]: build-script-build
  0.97s  INFO Compiled [ 13/389]: build-script-build
  0.97s  INFO Compiled [ 14/389]: build-script-build
  1.01s  INFO Compiled [ 15/389]: build-script-build
  1.06s  INFO Compiled [ 16/389]: build-script-build
  1.06s  INFO Compiled [ 17/389]: build-script-build
  1.07s  INFO Compiled [ 18/389]: autocfg
  1.07s  INFO Compiled [ 19/389]: build-script-build
  1.14s  INFO Compiled [ 20/389]: build-script-build
  1.36s  INFO Compiled [ 22/389]: objc2_encode
  1.42s  INFO Compiled [ 23/389]: tracing_core
  1.43s  INFO Compiled [ 24/389]: cc
  1.51s  INFO Compiled [ 25/389]: build-script-build
  1.53s  INFO Compiled [ 27/389]: build-script-build
  1.53s  INFO Compiled [ 28/389]: build-script-build
  1.55s  INFO Compiled [ 29/389]: scopeguard
  1.61s  INFO Compiled [ 30/389]: core_foundation_sys
  1.70s  INFO Compiled [ 31/389]: lock_api
  1.81s  INFO Compiled [ 33/389]: build-script-build
  1.82s  INFO Compiled [ 34/389]: futures_core
  1.85s  INFO Compiled [ 35/389]: unicode_xid
  1.91s  INFO Compiled [ 36/389]: konst_macro_rules
  1.97s  INFO Compiled [ 37/389]: dioxus_core_types
  2.09s  INFO Compiled [ 38/389]: serde_core
  2.12s  INFO Compiled [ 40/389]: konst
  2.14s  INFO Compiled [ 41/389]: memchr
  2.22s  INFO Compiled [ 42/389]: libloading
  2.25s  INFO Compiled [ 43/389]: bitflags
  2.32s  INFO Compiled [ 45/389]: slab
  2.33s  INFO Compiled [ 46/389]: build-script-build
  2.38s  INFO Compiled [ 47/389]: quote
  2.38s  INFO Compiled [ 48/389]: proc_macro2
  2.42s  INFO Compiled [ 49/389]: simd_adler32
  2.47s  INFO Compiled [ 50/389]: futures_task
  2.47s  INFO Compiled [ 51/389]: build-script-build
  2.69s  INFO Compiled [ 54/389]: const_format_proc_macros
  2.71s  INFO Compiled [ 55/389]: libc
  2.81s  INFO Compiled [ 57/389]: memmap2
  2.90s  INFO Compiled [ 58/389]: crossbeam_utils
  3.00s  INFO Compiled [ 59/389]: core_foundation
  3.08s  INFO Compiled [ 61/389]: anyhow
  3.08s  INFO Compiled [ 62/389]: futures_channel
  3.15s  INFO Compiled [ 63/389]: litemap
  3.15s  INFO Compiled [ 64/389]: log
  3.18s  INFO Compiled [ 66/389]: futures_util
  3.20s  INFO Compiled [ 67/389]: longest_increasing_subsequence
  3.21s  INFO Compiled [ 68/389]: rustc_hash
  3.26s  INFO Compiled [ 69/389]: build-script-build
  3.28s  INFO Compiled [ 70/389]: writeable
  3.30s  INFO Compiled [ 71/389]: build-script-build
  3.34s  INFO Compiled [ 72/389]: adler2
  3.35s  INFO Compiled [ 73/389]: utf8_iter
  3.38s  INFO Compiled [ 74/389]: num_traits
  3.38s  INFO Compiled [ 75/389]: rustversion
  3.44s  INFO Compiled [ 77/389]: build-script-build
  3.44s  INFO Compiled [ 78/389]: build-script-build
  3.46s  INFO Compiled [ 79/389]: build-script-build
  3.48s  INFO Compiled [ 80/389]: itoa
  3.53s  INFO Compiled [ 81/389]: parking_lot_core
  3.90s  INFO Compiled [ 82/389]: parking_lot
  3.94s  INFO Compiled [ 85/389]: objc2_exception_helper
  4.11s  INFO Compiled [ 86/389]: synstructure
  4.18s  INFO Compiled [ 88/389]: syn
  4.18s  INFO Compiled [ 89/389]: ident_case
  4.21s  INFO Compiled [ 90/389]: build-script-build
  4.27s  INFO Compiled [ 91/389]: miniz_oxide
  4.56s  INFO Compiled [ 93/389]: const_format
  4.66s  INFO Compiled [ 95/389]: thiserror_impl
  4.67s  INFO Compiled [ 96/389]: zerofrom_derive
  4.67s  INFO Compiled [ 97/389]: yoke_derive
  4.94s  INFO Compiled [100/389]: displaydoc
  4.98s  INFO Compiled [101/389]: zerovec_derive
  4.99s  INFO Compiled [102/389]: crossbeam_epoch
  5.01s  INFO Compiled [103/389]: tracing_attributes
  5.02s  INFO Compiled [104/389]: crossbeam_deque
  5.08s  INFO Compiled [106/389]: fnv
  5.11s  INFO Compiled [107/389]: lazy_js_bundle
  5.15s  INFO Compiled [108/389]: warnings_macro
  5.21s  INFO Compiled [109/389]: icu_properties_data
  5.26s  INFO Compiled [110/389]: equator_macro
  5.26s  INFO Compiled [111/389]: unicode_segmentation
  5.27s  INFO Compiled [112/389]: zerocopy_derive
  5.32s  INFO Compiled [114/389]: serde_derive
  5.32s  INFO Compiled [115/389]: crc32fast
  5.35s  INFO Compiled [116/389]: icu_normalizer_data
  5.38s  INFO Compiled [117/389]: pin_project_internal
  5.39s  INFO Compiled [118/389]: convert_case
  5.59s  INFO Compiled [120/389]: const_serialize_macro
  5.75s  INFO Compiled [121/389]: thiserror
  5.81s  INFO Compiled [122/389]: errno
  5.83s  INFO Compiled [123/389]: num_integer
