  0.00s  INFO Bundling project...
  0.73s  INFO Compiled [  1/208]: cfg_aliases
  0.73s  INFO Compiled [  2/208]: cfg_if
  0.74s  INFO Compiled [  3/208]: unicode_ident
  0.79s  INFO Compiled [  4/208]: stable_deref_trait
  0.81s  INFO Compiled [  5/208]: smallvec
  0.83s  INFO Compiled [  6/208]: foldhash
  0.85s  INFO Compiled [  7/208]: build-script-build
  0.87s  INFO Compiled [  8/208]: build-script-build
  0.87s  INFO Compiled [  9/208]: build-script-build
  0.88s  INFO Compiled [ 10/208]: arrayvec
  0.88s  INFO Compiled [ 11/208]: build-script-build
  0.89s  INFO Compiled [ 12/208]: autocfg
  0.91s  INFO Compiled [ 13/208]: build-script-build
  0.91s  INFO Compiled [ 14/208]: bitflags
  0.93s  INFO Compiled [ 15/208]: build-script-build
  0.94s  INFO Compiled [ 16/208]: log
  0.98s  INFO Compiled [ 17/208]: build-script-build
  0.98s  INFO Compiled [ 18/208]: build-script-build
  1.02s  INFO Compiled [ 19/208]: once_cell
  1.06s  INFO Compiled [ 21/208]: objc2_encode
  1.12s  INFO Compiled [ 22/208]: build-script-build
  1.13s  INFO Compiled [ 23/208]: build-script-build
  1.15s  INFO Compiled [ 24/208]: raw_window_handle
  1.17s  INFO Compiled [ 26/208]: hashbrown
  1.18s  INFO Compiled [ 27/208]: hashbrown
  1.18s  INFO Compiled [ 28/208]: scopeguard
  1.25s  INFO Compiled [ 29/208]: litemap
  1.26s  INFO Compiled [ 30/208]: lock_api
  1.26s  INFO Compiled [ 31/208]: writeable
  1.32s  INFO Compiled [ 32/208]: core_foundation_sys
  1.37s  INFO Compiled [ 34/208]: utf8_iter
  1.40s  INFO Compiled [ 35/208]: build-script-build
  1.42s  INFO Compiled [ 37/208]: profiling
  1.46s  INFO Compiled [ 38/208]: build-script-build
  1.53s  INFO Compiled [ 39/208]: unicode_width
  1.54s  INFO Compiled [ 40/208]: simd_adler32
  1.60s  INFO Compiled [ 42/208]: proc_macro2
  1.62s  INFO Compiled [ 43/208]: quote
  1.66s  INFO Compiled [ 44/208]: bit_vec
  1.68s  INFO Compiled [ 45/208]: equivalent
  1.73s  INFO Compiled [ 47/208]: build-script-build
  1.77s  INFO Compiled [ 48/208]: libc
  1.78s  INFO Compiled [ 49/208]: polycool
  1.82s  INFO Compiled [ 50/208]: build-script-build
  1.83s  INFO Compiled [ 51/208]: bit_set
  1.98s  INFO Compiled [ 53/208]: libm
  2.03s  INFO Compiled [ 55/208]: indexmap
  2.13s  INFO Compiled [ 57/208]: block2
  2.14s  INFO Compiled [ 58/208]: objc2
  2.15s  INFO Compiled [ 59/208]: objc_sys
  2.19s  INFO Compiled [ 60/208]: adler2
  2.23s  INFO Compiled [ 61/208]: codespan_reporting
  2.23s  INFO Compiled [ 62/208]: linebender_resource_handle
  2.30s  INFO Compiled [ 64/208]: objc2_core_foundation
  2.31s  INFO Compiled [ 65/208]: hexf_parse
  2.33s  INFO Compiled [ 66/208]: version_check
  2.35s  INFO Compiled [ 67/208]: num_traits
  2.39s  INFO Compiled [ 68/208]: parking_lot_core
  2.42s  INFO Compiled [ 69/208]: rustc_hash
  2.43s  INFO Compiled [ 70/208]: dispatch
  2.47s  INFO Compiled [ 71/208]: unicode_ident
  2.52s  INFO Compiled [ 73/208]: icu_normalizer_data
  2.56s  INFO Compiled [ 74/208]: euclid
  2.60s  INFO Compiled [ 75/208]: block2
  2.65s  INFO Compiled [ 76/208]: build-script-build
  2.67s  INFO Compiled [ 77/208]: uuid
  2.74s  INFO Compiled [ 78/208]: objc2
  2.77s  INFO Compiled [ 80/208]: parking_lot
  2.86s  INFO Compiled [ 81/208]: crc32fast
  2.90s  INFO Compiled [ 82/208]: guillotiere
  2.94s  INFO Compiled [ 83/208]: bitflags
