  0.00s  INFO Bundling project...
  0.79s  INFO Compiled [  1/318]: cfg_if
  0.80s  INFO Compiled [  2/318]: unicode_ident
  0.81s  INFO Compiled [  3/318]: pin_project_lite
  0.84s  INFO Compiled [  4/318]: cfg_if
  0.92s  INFO Compiled [  5/318]: build-script-build
  0.93s  INFO Compiled [  6/318]: build-script-build
  0.93s  INFO Compiled [  7/318]: build-script-build
  0.93s  INFO Compiled [  8/318]: build-script-build
  0.94s  INFO Compiled [  9/318]: build-script-build
  0.96s  INFO Compiled [ 10/318]: bitflags
  0.96s  INFO Compiled [ 11/318]: autocfg
  0.97s  INFO Compiled [ 12/318]: build-script-build
  0.97s  INFO Compiled [ 13/318]: build-script-build
  0.99s  INFO Compiled [ 14/318]: glob
  1.01s  INFO Compiled [ 15/318]: memchr
  1.03s  INFO Compiled [ 16/318]: bitflags
  1.04s  INFO Compiled [ 17/318]: build-script-build
  1.07s  INFO Compiled [ 18/318]: build-script-build
  1.11s  INFO Compiled [ 19/318]: build-script-build
  1.13s  INFO Compiled [ 20/318]: build-script-build
  1.13s  INFO Compiled [ 21/318]: objc2_encode
  1.14s  INFO Compiled [ 22/318]: either
  1.49s  INFO Compiled [ 25/318]: proc_macro2
  1.58s  INFO Compiled [ 26/318]: minimal_lexical
  1.65s  INFO Compiled [ 27/318]: aho_corasick
  1.74s  INFO Compiled [ 29/318]: once_cell
  1.80s  INFO Compiled [ 30/318]: quote
  1.81s  INFO Compiled [ 31/318]: parking
  1.96s  INFO Compiled [ 33/318]: build-script-build
  2.09s  INFO Compiled [ 34/318]: crossbeam_utils
  2.09s  INFO Compiled [ 36/318]: block2
  2.16s  INFO Compiled [ 38/318]: objc2
  2.31s  INFO Compiled [ 39/318]: libc
  2.31s  INFO Compiled [ 40/318]: libc
  2.36s  INFO Compiled [ 42/318]: errno
  2.51s  INFO Compiled [ 43/318]: regex_syntax
  2.51s  INFO Compiled [ 44/318]: dispatch2
  2.58s  INFO Compiled [ 46/318]: tracing_core
  2.64s  INFO Compiled [ 48/318]: libloading
  2.72s  INFO Compiled [ 49/318]: build-script-build
