  0.00s  INFO Bundling project...
  1.06s  INFO Compiled [  1/630]: cfg_if
  1.07s  INFO Compiled [  2/630]: unicode_ident
  1.09s  INFO Compiled [  3/630]: pin_project_lite
  1.16s  INFO Compiled [  4/630]: futures_core
  1.18s  INFO Compiled [  5/630]: build-script-build
  1.18s  INFO Compiled [  6/630]: build-script-build
  1.19s  INFO Compiled [  7/630]: build-script-build
  1.22s  INFO Compiled [  8/630]: bitflags
  1.22s  INFO Compiled [  9/630]: build-script-build
  1.23s  INFO Compiled [ 10/630]: build-script-build
  1.24s  INFO Compiled [ 11/630]: build-script-build
  1.24s  INFO Compiled [ 12/630]: autocfg
  1.24s  INFO Compiled [ 13/630]: build-script-build
  1.25s  INFO Compiled [ 14/630]: build-script-build
  1.28s  INFO Compiled [ 15/630]: futures_io
  1.33s  INFO Compiled [ 16/630]: memchr
  1.34s  INFO Compiled [ 17/630]: version_check
  1.36s  INFO Compiled [ 19/630]: build-script-build
  1.39s  INFO Compiled [ 20/630]: slab
  1.41s  INFO Compiled [ 21/630]: core_foundation_sys
  1.43s  INFO Compiled [ 22/630]: memchr
  1.43s  INFO Compiled [ 23/630]: arrayvec
  1.44s  INFO Compiled [ 24/630]: stable_deref_trait
  1.45s  INFO Compiled [ 25/630]: cfg_aliases
  1.48s  INFO Compiled [ 26/630]: cfg_if
  1.50s  INFO Compiled [ 27/630]: parking
  1.52s  INFO Compiled [ 28/630]: smallvec
  1.54s  INFO Compiled [ 29/630]: build-script-build
  1.56s  INFO Compiled [ 30/630]: build-script-build
  1.58s  INFO Compiled [ 31/630]: find_msvc_tools
  1.58s  INFO Compiled [ 32/630]: shlex
  1.62s  INFO Compiled [ 34/630]: typeid
  1.64s  INFO Compiled [ 35/630]: once_cell
  1.67s  INFO Compiled [ 36/630]: simd_adler32
  1.72s  INFO Compiled [ 37/630]: adler2
  1.72s  INFO Compiled [ 38/630]: fastrand
  1.77s  INFO Compiled [ 39/630]: build-script-build
  1.87s  INFO Compiled [ 41/630]: futures_sink
  1.88s  INFO Compiled [ 42/630]: build-script-build
  1.91s  INFO Compiled [ 43/630]: atomic_waker
  1.91s  INFO Compiled [ 44/630]: equivalent
  1.99s  INFO Compiled [ 45/630]: hashbrown
  2.03s  INFO Compiled [ 46/630]: build-script-build
  2.09s  INFO Compiled [ 47/630]: cc
  2.30s  INFO Compiled [ 49/630]: futures_lite
  2.54s  INFO Compiled [ 52/630]: proc_macro2
  2.63s  INFO Compiled [ 54/630]: aho_corasick
  2.64s  INFO Compiled [ 55/630]: quote
  2.65s  INFO Compiled [ 56/630]: bytes
  2.68s  INFO Compiled [ 57/630]: miniz_oxide
  2.71s  INFO Compiled [ 58/630]: log
  2.75s  INFO Compiled [ 59/630]: build-script-build
  2.81s  INFO Compiled [ 60/630]: itoa
