app,crate_root,clean_build_secs,incremental_secs,binary_bytes,binary_stripped_bytes,deps_unique,accesskit_in_deps,loc_rust,loc_other_ui,process_survived_8s
freya-app,apps/freya-app,28,1,21328224,19196872,192,4,90,0,yes
freya-dash,apps/freya-dash,29,1,20970656,18883144,192,4,624,0,yes
freya-board,apps/freya-board,30,1,21511328,19346776,192,4,462,0,yes
freya-tray,apps/freya-tray,33,1,23951696,21480920,208,4,865,0,yes
freya-babel,apps/freya-babel,31,1,21383904,19248296,192,4,530,0,yes
freya-grid,apps/freya-grid,30,1,21544336,19397128,192,4,724,0,yes
freya-fetch,apps/freya-fetch,31,1,23209968,20761576,245,4,654,0,yes
freya-peek,apps/freya-peek,32,1,23469248,20989528,242,4,585,0,yes
vizia-app,apps/vizia-app,22,1,22863632,20551800,128,4,162,0,yes
vizia-dash,apps/vizia-dash,19,1,22709856,20425656,128,4,743,0,yes
vizia-board,apps/vizia-board,17,1,22799760,20501528,128,4,499,0,yes
vizia-tray,apps/vizia-tray,21,1,24152848,21688728,168,4,720,0,yes
vizia-babel,apps/vizia-babel,17,1,22677568,20418376,128,4,241,0,yes
vizia-grid,apps/vizia-grid,17,2,23315888,20835960,128,4,672,0,yes
vizia-fetch,apps/vizia-fetch,19,2,24770080,22120808,187,4,800,0,yes
vizia-peek,apps/vizia-peek,22,1,23413552,21014680,189,4,808,0,yes
floem-app,apps/floem-app,42,1,17605984,14931208,226,0,91,0,yes
floem-dash,apps/floem-dash,42,1,17823152,15084600,226,0,421,0,yes
floem-board,apps/floem-board,42,1,17752288,15033432,226,0,353,0,yes
floem-tray,apps/floem-tray,45,1,20880880,17699048,240,0,610,0,yes
floem-babel,apps/floem-babel,44,1,18772016,15915896,226,0,326,0,yes
floem-grid,apps/floem-grid,44,2,17904912,15165080,226,0,667,0,yes
floem-fetch,apps/floem-fetch,48,2,19840448,16736088,271,0,711,0,yes
floem-peek,apps/floem-peek,59,2,20860752,17667224,313,0,947,0,yes
