app,sample_index,main_pid,helper_pids,cpu_pct,rss_kib,rss_mib
freya-dash,1,46605,,4.1,100256,97.906
freya-dash,2,46605,,4.5,101648,99.266
freya-dash,3,46605,,4.4,101664,99.281
freya-dash,4,46605,,3.8,101856,99.469
freya-dash,5,46605,,5.1,101856,99.469
freya-dash,6,46605,,3.8,101872,99.484
freya-dash,7,46605,,3.1,102560,100.156
freya-dash,8,46605,,4.4,102560,100.156
freya-dash,9,46605,,3.7,102624,100.219
freya-dash,10,46605,,3.9,102640,100.234
freya-dash,11,46605,,4.4,102672,100.266
freya-dash,12,46605,,4,102672,100.266
freya-dash,13,46605,,3.6,102704,100.297
freya-dash,14,46605,,4.6,102704,100.297
freya-dash,15,46605,,4.5,102704,100.297
freya-dash,16,46605,,3.9,102704,100.297
freya-dash,17,46605,,4.5,102704,100.297
freya-dash,18,46605,,5.8,102720,100.312
freya-dash,19,46605,,5.9,102720,100.312
freya-dash,20,46605,,4.7,102720,100.312
freya-dash,21,46605,,5.7,102720,100.312
freya-dash,22,46605,,4.9,102752,100.344
freya-dash,23,46605,,5.3,102752,100.344
freya-dash,24,46605,,4.8,102768,100.359
freya-dash,25,46605,,4.9,102784,100.375
freya-dash,26,46605,,4.4,102784,100.375
freya-dash,27,46605,,5.2,102800,100.391
freya-dash,28,46605,,4.8,102800,100.391
freya-dash,29,46605,,4,102816,100.406
freya-dash,30,46605,,3.5,102832,100.422
vizia-dash,1,47431,,5.8,105360,102.891
vizia-dash,2,47431,,5.3,106176,103.688
vizia-dash,3,47431,,6.3,106176,103.688
vizia-dash,4,47431,,6.4,106176,103.688
vizia-dash,5,47431,,6.4,106176,103.688
vizia-dash,6,47431,,5.6,106176,103.688
vizia-dash,7,47431,,5.3,106176,103.688
vizia-dash,8,47431,,7.1,107072,104.562
vizia-dash,9,47431,,6.3,107072,104.562
vizia-dash,10,47431,,5.7,107072,104.562
vizia-dash,11,47431,,5.6,107072,104.562
vizia-dash,12,47431,,5.8,108896,106.344
vizia-dash,13,47431,,5.4,108896,106.344
vizia-dash,14,47431,,5.8,108896,106.344
vizia-dash,15,47431,,6.7,108896,106.344
vizia-dash,16,47431,,6.7,108896,106.344
vizia-dash,17,47431,,5.5,108912,106.359
vizia-dash,18,47431,,5.8,108912,106.359
vizia-dash,19,47431,,4.8,108912,106.359
vizia-dash,20,47431,,6.5,108912,106.359
vizia-dash,21,47431,,6.5,108912,106.359
vizia-dash,22,47431,,6.1,108912,106.359
vizia-dash,23,47431,,5.1,109808,107.234
vizia-dash,24,47431,,5.7,109808,107.234
vizia-dash,25,47431,,6.8,109808,107.234
vizia-dash,26,47431,,6.8,110704,108.109
vizia-dash,27,47431,,5.7,110704,108.109
vizia-dash,28,47431,,6.9,110704,108.109
vizia-dash,29,47431,,6.1,110704,108.109
vizia-dash,30,47431,,5.9,110704,108.109
floem-dash,1,48221,,1.9,97280,95.000
floem-dash,2,48221,,3.3,97296,95.016
floem-dash,3,48221,,3.2,97296,95.016
floem-dash,4,48221,,2.6,97312,95.031
floem-dash,5,48221,,3.5,97328,95.047
floem-dash,6,48221,,3.3,97328,95.047
floem-dash,7,48221,,3.4,97344,95.062
floem-dash,8,48221,,2.5,97344,95.062
floem-dash,9,48221,,3.1,97360,95.078
floem-dash,10,48221,,3.1,97360,95.078
floem-dash,11,48221,,3.2,97456,95.172
floem-dash,12,48221,,3.7,97472,95.188
floem-dash,13,48221,,3.6,97472,95.188
floem-dash,14,48221,,3.7,97504,95.219
floem-dash,15,48221,,3,97520,95.234
floem-dash,16,48221,,2.8,97616,95.328
floem-dash,17,48221,,3,97616,95.328
floem-dash,18,48221,,3,97616,95.328
floem-dash,19,48221,,3.4,97616,95.328
floem-dash,20,48221,,3.4,97616,95.328
floem-dash,21,48221,,2.9,97648,95.359
floem-dash,22,48221,,3.1,97664,95.375
floem-dash,23,48221,,3.1,97664,95.375
floem-dash,24,48221,,2.9,97664,95.375
floem-dash,25,48221,,2.5,97664,95.375
floem-dash,26,48221,,3,97664,95.375
floem-dash,27,48221,,2.7,97664,95.375
floem-dash,28,48221,,2.2,97664,95.375
floem-dash,29,48221,,3.3,97664,95.375
floem-dash,30,48221,,2.7,97664,95.375
