app,compile_ok,clean_build_secs,binary_bytes,pdb_bytes,run_alive_10s_default,visible_window_default,workaround_variant,workaround_alive_10s,default_result,workaround_result,notes
dioxus-app,yes,80.82,5047808,3887104,yes,yes,none,not_run,alive+window,not_run,
dioxus-babel,yes,82.04,5157376,3969024,yes,yes,none,not_run,alive+window,not_run,
dioxus-board,yes,81.94,5171200,3952640,yes,yes,none,not_run,alive+window,not_run,
dioxus-dash,yes,81.37,5221888,3969024,yes,yes,none,not_run,alive+window,not_run,
dioxus-fetch,yes,86.48,6316032,4444160,yes,yes,none,not_run,alive+window,not_run,
dioxus-grid,yes,84.27,5339136,4018176,yes,yes,none,not_run,alive+window,not_run,
dioxus-peek,no,29.95,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error: `objc2` only works on Apple platforms. Pass `--target aarch64-apple-darwin` or similar to compile for macOS. | build failed: error: `objc2` only works on Apple platforms. Pass `--target aarch64-apple-darwin` or similar to compile for macOS.
dioxus-tray,yes,95.26,6543872,4198400,yes,yes,none,not_run,alive+window,not_run,
egui-app,yes,88.89,14050304,5795840,yes,yes,none,not_run,alive+window,not_run,
egui-babel,yes,93.88,33043456,5795840,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=1)
egui-board,yes,93.53,14089216,5804032,yes,yes,none,not_run,alive+window,not_run,
egui-dash,yes,93.46,14457344,5869568,yes,yes,none,not_run,alive+window,not_run,
egui-fetch,yes,101.57,16247296,6885376,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=1)
egui-grid,yes,95.60,14175744,5836800,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=1)
egui-peek,yes,109.79,15104000,6238208,no,no,msmf-manifest,yes,died,alive+window,process exited before 10s (exit=1)
egui-tray,yes,97.35,14495232,5984256,no,no,wgpu-gl,no,died,died,process exited before 10s (exit=101) | process exited before 10s (exit=101) | process exited before 10s (exit=101)
floem-app,yes,132.28,18121728,7204864,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
floem-babel,no,75.29,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: `objc2` only works on Apple platforms. Pass `--target aarch64-apple-darwin` or similar to compile for macOS.
floem-board,yes,128.84,18264576,7262208,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
floem-dash,yes,133.66,18348544,7286784,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
floem-fetch,yes,135.04,20083200,7983104,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
floem-grid,yes,126.88,18429952,7286784,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
floem-peek,no,113.42,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error: `objc2` only works on Apple platforms. Pass `--target aarch64-apple-darwin` or similar to compile for macOS. | build failed: error: `objc2` only works on Apple platforms. Pass `--target aarch64-apple-darwin` or similar to compile for macOS.
floem-tray,yes,131.02,20294656,8089600,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
freya-app,no,42.89,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-babel,no,42.85,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-board,no,42.54,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-dash,no,41.77,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-fetch,no,50.61,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-grid,no,42.15,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-peek,no,67.36,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1` | build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
freya-tray,no,45.91,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `freya-skia-bindings v0.98.1`
gpui-app,yes,163.05,10431488,4435968,yes,yes,none,not_run,alive+window,not_run,
gpui-babel,yes,165.32,10972672,4591616,yes,yes,none,not_run,alive+window,not_run,
gpui-board,yes,172.35,10527232,4468736,yes,yes,none,not_run,alive+window,not_run,
gpui-dash,yes,162.28,10734080,4517888,yes,yes,none,not_run,alive+window,not_run,
gpui-fetch,yes,167.62,13224448,5787648,yes,yes,none,not_run,alive+window,not_run,
gpui-grid,yes,164.34,10781696,4509696,yes,yes,none,not_run,alive+window,not_run,
gpui-peek,no,72.33,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error[E0433]: cannot find `unix` in `os` | build failed: error[E0433]: cannot find `unix` in `os`
gpui-tray,yes,166.54,11970560,4902912,yes,yes,none,not_run,alive+window,not_run,
iced-app,yes,76.77,11130880,5378048,yes,yes,none,not_run,alive+window,not_run,
iced-babel,yes,77.58,11565056,5550080,yes,yes,none,not_run,alive+window,not_run,
iced-board,yes,74.93,11237376,5443584,yes,yes,none,not_run,alive+window,not_run,
iced-dash,yes,79.21,11481088,5566464,yes,yes,none,not_run,alive+window,not_run,
iced-fetch,yes,86.90,12793344,6057984,yes,yes,none,not_run,alive+window,not_run,
