app,crate_root,clean_build_secs,incremental_secs,binary_bytes,binary_stripped_bytes,deps_unique,accesskit_in_deps,loc_rust,loc_other_ui,process_survived_8s
dioxus-native-windows,apps/dioxus-native-windows,69,2,24533888,21024000,367,4,458,0,yes
dioxus-windows,apps/dioxus-windows,31,1,6477664,5487848,284,0,1065,0,yes
egui-windows,apps/egui-windows,26,1,12895440,11369480,165,4,897,0,yes
floem-windows,apps/floem-windows,45,2,18413248,15539720,226,0,1162,0,yes
freya-windows,apps/freya-windows,31,1,21799264,19591368,198,4,1251,0,yes
gpui-windows,apps/gpui-windows,54,2,5720240,4837592,397,0,1422,0,yes
iced-windows,apps/iced-windows,23,2,10790176,9163720,148,0,1279,0,yes
slint-windows,apps/slint-windows,49,8,16572496,14676488,307,4,1055,404,yes
tauri-windows,apps/tauri-windows,35,10,9276400,7415672,208,0,807,300,yes
vizia-windows,apps/vizia-windows,19,2,23199984,20810232,129,4,1021,0,yes
xilem-windows,apps/xilem-windows,26,2,11522512,9814680,151,4,1518,0,yes
dioxus-ledger,apps/dioxus-ledger,31,2,6424992,5452056,286,0,1000,0,yes
dioxus-native-ledger,apps/dioxus-native-ledger,60,2,27858960,23875232,370,4,78,0,yes
egui-ledger,apps/egui-ledger,26,1,12872336,11346472,165,4,1359,0,yes
floem-ledger,apps/floem-ledger,46,2,18262464,15420664,227,0,1108,0,yes
freya-ledger,apps/freya-ledger,32,1,23322704,20900472,193,4,1490,0,yes
gpui-ledger,apps/gpui-ledger,55,2,5510448,4687368,397,0,1521,0,yes
iced-ledger,apps/iced-ledger,23,2,10763968,9142152,141,0,1435,0,yes
slint-ledger,apps/slint-ledger,53,12,17959040,15728216,307,4,1085,363,yes
tauri-ledger,apps/tauri-ledger,38,10,9301184,7460856,224,0,542,519,yes
vizia-ledger,apps/vizia-ledger,20,3,24686096,21973880,130,4,1280,0,yes
xilem-ledger,apps/xilem-ledger,29,2,11611792,9845480,156,4,1821,0,yes
