app,crate_root,clean_build_secs,incremental_secs,binary_bytes,binary_stripped_bytes,deps_unique,accesskit_in_deps,loc_rust,loc_other_ui,process_survived_8s
dioxus-app,apps/dioxus-app,40,1,5982128,5108920,279,0,90,0,yes
egui-app,apps/egui-app,27,1,12531728,11054344,156,4,168,0,yes
gpui-app,apps/gpui-app,56,1,5239088,4467704,391,0,230,0,yes
iced-app,apps/iced-app,22,2,10393264,8885624,140,0,74,0,yes
slint-app,apps/slint-app,42,4,15434560,13873752,302,4,42,52,yes
tauri-app,apps/tauri-app,36,10,8373344,6682264,204,0,60,148,yes
xilem-app,apps/xilem-app,28,1,11944000,10217064,143,4,81,0,yes
freya-app,apps/freya-app,28,1,21328224,19196872,192,4,90,0,yes
vizia-app,apps/vizia-app,22,1,22863632,20551800,128,4,162,0,yes
floem-app,apps/floem-app,42,1,17605984,14931208,226,0,91,0,yes
