app,crate_root,clean_build_secs,incremental_secs,binary_bytes,binary_stripped_bytes,deps_unique,accesskit_in_deps,loc_rust,loc_other_ui,launch_ok
iced-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/iced-dash,25,2,10847488,9216296,170,0,777,0,yes
egui-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-dash,26,1,12917232,11386088,162,4,431,0,yes
gpui-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/gpui-dash,54,2,5513136,4695608,391,0,733,0,yes
tauri-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/tauri-dash,35,9,8284336,6601320,204,0,168,565,yes
xilem-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/xilem-dash,28,2,11903856,10186056,143,4,1233,0,yes
slint-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-dash,40,3,12925648,11709576,302,4,274,393,yes
dioxus-dash,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-dash,33,1,6156656,5246872,279,0,524,0,yes
iced-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/iced-board,23,2,10514704,8955864,140,0,617,0,yes
egui-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/egui-board,24,1,12588240,11105736,156,4,607,0,yes
gpui-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/gpui-board,54,2,5304464,4518600,391,0,515,0,yes
tauri-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/tauri-board,36,9,8347120,6665656,204,0,21,445,yes
xilem-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/xilem-board,34,2,12342848,10404040,143,4,1160,0,yes
slint-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-board,48,7,16092816,14288600,302,4,132,367,yes
dioxus-board,/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/dioxus-board,31,1,6123152,5211416,279,0,412,0,yes
