  0.00s  INFO Bundling project...
  0.96s  INFO Compiled [  1/544]: stable_deref_trait
  0.97s  INFO Compiled [  2/544]: unicode_ident
  1.00s  INFO Compiled [  3/544]: stable_deref_trait
  1.03s  INFO Compiled [  4/544]: version_check
  1.05s  INFO Compiled [  5/544]: build-script-build
  1.07s  INFO Compiled [  6/544]: build-script-build
  1.08s  INFO Compiled [  7/544]: build-script-build
  1.08s  INFO Compiled [  8/544]: build-script-build
  1.09s  INFO Compiled [  9/544]: build-script-build
  1.10s  INFO Compiled [ 10/544]: autocfg
  1.11s  INFO Compiled [ 11/544]: build-script-build
  1.13s  INFO Compiled [ 12/544]: build-script-build
  1.13s  INFO Compiled [ 13/544]: build-script-build
  1.14s  INFO Compiled [ 14/544]: arrayvec
  1.15s  INFO Compiled [ 15/544]: build-script-build
  1.16s  INFO Compiled [ 16/544]: memchr
  1.17s  INFO Compiled [ 17/544]: cfg_if
  1.18s  INFO Compiled [ 18/544]: build-script-build
  1.20s  INFO Compiled [ 19/544]: smallvec
  1.25s  INFO Compiled [ 22/544]: build-script-build
  1.27s  INFO Compiled [ 23/544]: writeable
  1.28s  INFO Compiled [ 24/544]: smallvec
  1.29s  INFO Compiled [ 25/544]: objc2_encode
  1.33s  INFO Compiled [ 26/544]: simd_adler32
  1.37s  INFO Compiled [ 27/544]: build-script-build
  1.38s  INFO Compiled [ 29/544]: writeable
  1.38s  INFO Compiled [ 30/544]: build-script-build
  1.40s  INFO Compiled [ 31/544]: bitflags
  1.43s  INFO Compiled [ 32/544]: utf8_iter
  1.43s  INFO Compiled [ 33/544]: log
  1.44s  INFO Compiled [ 34/544]: adler2
  1.45s  INFO Compiled [ 35/544]: litemap
  1.51s  INFO Compiled [ 36/544]: litemap
  1.52s  INFO Compiled [ 38/544]: build-script-build
  1.54s  INFO Compiled [ 39/544]: cfg_if
  1.56s  INFO Compiled [ 40/544]: unicode_xid
  1.58s  INFO Compiled [ 41/544]: utf8_iter
  1.60s  INFO Compiled [ 42/544]: unicode_segmentation
  1.64s  INFO Compiled [ 43/544]: arrayvec
  1.64s  INFO Compiled [ 44/544]: libm
  1.68s  INFO Compiled [ 45/544]: miniz_oxide
  1.68s  INFO Compiled [ 46/544]: convert_case
  1.70s  INFO Compiled [ 47/544]: cfg_aliases
  1.70s  INFO Compiled [ 48/544]: foldhash
  1.73s  INFO Compiled [ 49/544]: build-script-build
  1.75s  INFO Compiled [ 50/544]: build-script-build
  1.76s  INFO Compiled [ 52/544]: heck
  1.82s  INFO Compiled [ 53/544]: build-script-build
  1.94s  INFO Compiled [ 54/544]: hashbrown
  1.95s  INFO Compiled [ 55/544]: block2
  2.04s  INFO Compiled [ 59/544]: simd_adler32
  2.07s  INFO Compiled [ 60/544]: libm
  2.09s  INFO Compiled [ 61/544]: objc2
  2.12s  INFO Compiled [ 62/544]: core_foundation_sys
  2.12s  INFO Compiled [ 63/544]: core_maths
  2.16s  INFO Compiled [ 64/544]: build-script-build
  2.21s  INFO Compiled [ 66/544]: quote
  2.22s  INFO Compiled [ 67/544]: proc_macro2
  2.23s  INFO Compiled [ 68/544]: libc
  2.26s  INFO Compiled [ 69/544]: libc
  2.32s  INFO Compiled [ 72/544]: adler2
  2.32s  INFO Compiled [ 73/544]: build-script-build
  2.32s  INFO Compiled [ 74/544]: build-script-build
  2.33s  INFO Compiled [ 75/544]: quick_error
  2.35s  INFO Compiled [ 76/544]: crc32fast
  2.36s  INFO Compiled [ 77/544]: float_cmp
  2.41s  INFO Compiled [ 78/544]: log
  2.41s  INFO Compiled [ 79/544]: strict_num
  2.42s  INFO Compiled [ 80/544]: foldhash
  2.46s  INFO Compiled [ 82/544]: num_traits
  2.50s  INFO Compiled [ 83/544]: flate2
  2.51s  INFO Compiled [ 84/544]: crc32fast
  2.60s  INFO Compiled [ 85/544]: crossbeam_utils
  2.63s  INFO Compiled [ 87/544]: serde_core
  2.65s  INFO Compiled [ 88/544]: fdeflate
  2.76s  INFO Compiled [ 90/544]: polycool
  2.77s  INFO Compiled [ 91/544]: bitflags
  2.77s  INFO Compiled [ 92/544]: build-script-build
  2.87s  INFO Compiled [ 94/544]: zune_core
  2.88s  INFO Compiled [ 95/544]: crossbeam_epoch
  2.91s  INFO Compiled [ 96/544]: tinyvec_macros
  2.93s  INFO Compiled [ 97/544]: build-script-build
  2.95s  INFO Compiled [ 98/544]: unicode_width
  2.96s  INFO Compiled [ 99/544]: arrayref
  2.96s  INFO Compiled [100/544]: crossbeam_deque
  2.97s  INFO Compiled [101/544]: num_traits
  3.09s  INFO Compiled [103/544]: weezl
  3.10s  INFO Compiled [104/544]: tinyvec
  3.22s  INFO Compiled [106/544]: miniz_oxide
  3.24s  INFO Compiled [108/544]: rayon_core
  3.25s  INFO Compiled [109/544]: objc2_core_foundation
  3.30s  INFO Compiled [110/544]: zune_jpeg
  3.33s  INFO Compiled [111/544]: slotmap
  3.35s  INFO Compiled [112/544]: icu_properties_data
  3.40s  INFO Compiled [115/544]: objc2_core_text
  3.45s  INFO Compiled [116/544]: num_integer
  3.46s  INFO Compiled [117/544]: color_quant
  3.49s  INFO Compiled [118/544]: flate2
  3.50s  INFO Compiled [119/544]: unicode_bidi_mirroring
  3.51s  INFO Compiled [120/544]: ttf_parser
  3.54s  INFO Compiled [121/544]: unicode_ccc
  3.55s  INFO Compiled [122/544]: byteorder_lite
  3.58s  INFO Compiled [124/544]: png
  3.58s  INFO Compiled [125/544]: either
  3.61s  INFO Compiled [126/544]: siphasher
  3.64s  INFO Compiled [127/544]: kurbo
  3.65s  INFO Compiled [128/544]: unicode_properties
  3.66s  INFO Compiled [129/544]: synstructure
  3.69s  INFO Compiled [130/544]: unicode_script
  3.70s  INFO Compiled [131/544]: objc2_encode
  3.74s  INFO Compiled [132/544]: build-script-build
  3.75s  INFO Compiled [133/544]: build-script-build
  3.80s  INFO Compiled [135/544]: icu_locale_data
  3.89s  INFO Compiled [136/544]: slotmap
  3.90s  INFO Compiled [137/544]: svgtypes
  3.90s  INFO Compiled [138/544]: objc_sys
  3.96s  INFO Compiled [140/544]: icu_normalizer_data
  3.97s  INFO Compiled [141/544]: core_maths
  4.01s  INFO Compiled [142/544]: gif
  4.03s  INFO Compiled [143/544]: fontdb
  4.13s  INFO Compiled [144/544]: simplecss
  4.13s  INFO Compiled [145/544]: objc2
  4.14s  INFO Compiled [146/544]: syn
  4.19s  INFO Compiled [149/544]: image_webp
  4.24s  INFO Compiled [150/544]: objc2_core_foundation
  4.28s  INFO Compiled [151/544]: num_bigint
  4.41s  INFO Compiled [153/544]: fdeflate
  4.45s  INFO Compiled [154/544]: roxmltree
  4.55s  INFO Compiled [156/544]: displaydoc
  4.68s  INFO Compiled [158/544]: data_url
  4.70s  INFO Compiled [159/544]: yoke_derive
  4.73s  INFO Compiled [160/544]: unicode_bidi
  4.74s  INFO Compiled [161/544]: zerofrom_derive
  4.75s  INFO Compiled [162/544]: equator_macro
  4.76s  INFO Compiled [163/544]: zerovec_derive
  4.76s  INFO Compiled [164/544]: bytemuck_derive
  4.76s  INFO Compiled [165/544]: xmlwriter
  4.83s  INFO Compiled [166/544]: semver
  4.86s  INFO Compiled [167/544]: build-script-build
  4.87s  INFO Compiled [168/544]: thiserror_impl
  4.87s  INFO Compiled [169/544]: unicode_vo
  4.89s  INFO Compiled [170/544]: critical_section
  4.90s  INFO Compiled [171/544]: imagesize
  4.93s  INFO Compiled [172/544]: float_cmp
  4.94s  INFO Compiled [173/544]: pico_args
  4.97s  INFO Compiled [174/544]: base64
  4.98s  INFO Compiled [175/544]: strict_num
